problema,instancia,job,operation,machine,start,finish,duration,makespan,status_terminacao,status_primal
Flow Shop Scheduling,problem_3m_10j,J4,1,M1,0.0,1.0,1,126.0,OPTIMAL,FEASIBLE_POINT
Flow Shop Scheduling,problem_3m_10j,J4,1,M2,1.0,16.0,15,126.0,OPTIMAL,FEASIBLE_POINT
Flow Shop Scheduling,problem_3m_10j,J4,1,M3,16.0,26.0,10,126.0,OPTIMAL,FEASIBLE_POINT
Flow Shop Scheduling,problem_3m_10j,J8,2,M1,1.0,4.0,3,126.0,OPTIMAL,FEASIBLE_POINT
Flow Shop Scheduling,problem_3m_10j,J8,2,M2,16.0,21.0,5,126.0,OPTIMAL,FEASIBLE_POINT
Flow Shop Scheduling,problem_3m_10j,J8,2,M3,26.0,30.0,4,126.0,OPTIMAL,FEASIBLE_POINT
Flow Shop Scheduling,problem_3m_10j,J9,3,M1,4.0,7.0,3,126.0,OPTIMAL,FEASIBLE_POINT
Flow Shop Scheduling,problem_3m_10j,J9,3,M2,21.0,28.0,7,126.0,OPTIMAL,FEASIBLE_POINT
Flow Shop Scheduling,problem_3m_10j,J9,3,M3,30.0,43.0,13,126.0,OPTIMAL,FEASIBLE_POINT
Flow Shop Scheduling,problem_3m_10j,J3,4,M1,7.0,15.0,8,126.0,OPTIMAL,FEASIBLE_POINT
Flow Shop Scheduling,problem_3m_10j,J3,4,M2,28.0,42.0,14,126.0,OPTIMAL,FEASIBLE_POINT
Flow Shop Scheduling,problem_3m_10j,J3,4,M3,43.0,55.0,12,126.0,OPTIMAL,FEASIBLE_POINT
Flow Shop Scheduling,problem_3m_10j,J5,5,M1,15.0,33.0,18,126.0,OPTIMAL,FEASIBLE_POINT
Flow Shop Scheduling,problem_3m_10j,J5,5,M2,42.0,55.0,13,126.0,OPTIMAL,FEASIBLE_POINT
Flow Shop Scheduling,problem_3m_10j,J5,5,M3,55.0,69.0,14,126.0,OPTIMAL,FEASIBLE_POINT
Flow Shop Scheduling,problem_3m_10j,J7,6,M1,33.0,48.0,15,126.0,OPTIMAL,FEASIBLE_POINT
Flow Shop Scheduling,problem_3m_10j,J7,6,M2,55.0,69.0,14,126.0,OPTIMAL,FEASIBLE_POINT
Flow Shop Scheduling,problem_3m_10j,J7,6,M3,69.0,79.0,10,126.0,OPTIMAL,FEASIBLE_POINT
Flow Shop Scheduling,problem_3m_10j,J10,7,M1,48.0,51.0,3,126.0,OPTIMAL,FEASIBLE_POINT
Flow Shop Scheduling,problem_3m_10j,J10,7,M2,69.0,85.0,16,126.0,OPTIMAL,FEASIBLE_POINT
Flow Shop Scheduling,problem_3m_10j,J10,7,M3,85.0,102.0,17,126.0,OPTIMAL,FEASIBLE_POINT
Flow Shop Scheduling,problem_3m_10j,J1,8,M1,51.0,68.0,17,126.0,OPTIMAL,FEASIBLE_POINT
Flow Shop Scheduling,problem_3m_10j,J1,8,M2,85.0,100.0,15,126.0,OPTIMAL,FEASIBLE_POINT
Flow Shop Scheduling,problem_3m_10j,J1,8,M3,102.0,116.0,14,126.0,OPTIMAL,FEASIBLE_POINT
Flow Shop Scheduling,problem_3m_10j,J2,9,M1,68.0,86.0,18,126.0,OPTIMAL,FEASIBLE_POINT
Flow Shop Scheduling,problem_3m_10j,J2,9,M2,100.0,116.0,16,126.0,OPTIMAL,FEASIBLE_POINT
Flow Shop Scheduling,problem_3m_10j,J2,9,M3,116.0,122.0,6,126.0,OPTIMAL,FEASIBLE_POINT
Flow Shop Scheduling,problem_3m_10j,J6,10,M1,86.0,101.0,15,126.0,OPTIMAL,FEASIBLE_POINT
Flow Shop Scheduling,problem_3m_10j,J6,10,M2,116.0,125.0,9,126.0,OPTIMAL,FEASIBLE_POINT
Flow Shop Scheduling,problem_3m_10j,J6,10,M3,125.0,126.0,1,126.0,OPTIMAL,FEASIBLE_POINT
