problema,instancia,tarefas,maquinas,operacoes,status_terminacao,status_primal,valor_objetivo_ou_makespan,gap_relativo,tempo_solucao,quantidade_variaveis,quantidade_restricoes
Machine Scheduling,inst_n19_s01,19,1,19,TIME_LIMIT,FEASIBLE_POINT,249.9999999999928,0.8425138881307087,300.018541787,228,684
Machine Scheduling,inst_n17_s02,17,1,17,TIME_LIMIT,FEASIBLE_POINT,156.99999999998698,0.8350774825379793,300.018334854,187,561
Machine Scheduling,inst_n15_s02,15,1,15,TIME_LIMIT,FEASIBLE_POINT,122.99999999983163,0.4778981142992844,300.017113056,150,450
Machine Scheduling,inst_n17_s01,17,1,17,TIME_LIMIT,FEASIBLE_POINT,166.00000000000034,0.6532741866161378,300.016501673,187,561
Machine Scheduling,inst_n15_s01,15,1,15,TIME_LIMIT,FEASIBLE_POINT,136.9999999998238,0.6485922836283279,300.015454763,150,450
Job Shop Scheduling,abz5,10,10,100,TIME_LIMIT,FEASIBLE_POINT,1241.999999,0.14251207660427695,300.217612381,551,1652
Job Shop Scheduling,ft20,20,5,100,TIME_LIMIT,FEASIBLE_POINT,1255.0000000051216,0.6008412356262017,300.035837585,1051,3152
Job Shop Scheduling,ft10,10,10,100,TIME_LIMIT,FEASIBLE_POINT,951.9999990000016,0.21570616125525705,300.018580514,551,1652
Job Shop Scheduling,orb01,10,10,100,TIME_LIMIT,FEASIBLE_POINT,1122.0,0.2879434720062022,300.018501712,551,1652
Job Shop Scheduling,la02,10,5,50,OPTIMAL,FEASIBLE_POINT,660.99999876,0.009986713749974277,270.614783821,276,827
Flow Shop Scheduling,problem_10m_20j,20,10,200,TIME_LIMIT,FEASIBLE_POINT,290.0,0.024137931034459242,300.249301759,601,1214
Flow Shop Scheduling,problem_5m_20j,20,5,100,OPTIMAL,FEASIBLE_POINT,264.0,0.009986225895323225,6.013789192,501,819
Flow Shop Scheduling,problem_8m_10j,10,8,80,OPTIMAL,FEASIBLE_POINT,187.0,0.0077299869670227625,2.095669674,181,426
Flow Shop Scheduling,problem_5m_30j,30,5,150,OPTIMAL,FEASIBLE_POINT,330.0,0.009090909090901237,0.618970044,1051,1529
Flow Shop Scheduling,problem_5m_10j,10,5,50,OPTIMAL,FEASIBLE_POINT,129.0,0.004575598406862917,0.203412503,151,309
