problema,instancia,tarefas,maquinas,operacoes,status_terminacao,status_primal,valor_objetivo_ou_makespan,gap_relativo,tempo_solucao,quantidade_variaveis,quantidade_restricoes
Machine Scheduling,inst_n15_s01,15,1,15,TIME_LIMIT,FEASIBLE_POINT,136.9999999998238,0.6485922836283279,300.015454763,150,450
Machine Scheduling,inst_n15_s02,15,1,15,TIME_LIMIT,FEASIBLE_POINT,122.99999999983163,0.4778981142992844,300.017113056,150,450
Machine Scheduling,inst_n17_s01,17,1,17,TIME_LIMIT,FEASIBLE_POINT,166.00000000000034,0.6532741866161378,300.016501673,187,561
Machine Scheduling,inst_n17_s02,17,1,17,TIME_LIMIT,FEASIBLE_POINT,156.99999999998698,0.8350774825379793,300.018334854,187,561
Machine Scheduling,inst_n17_s03,17,1,17,TIME_LIMIT,FEASIBLE_POINT,111.99999999986854,0.7034906210397829,300.014426008,187,561
Machine Scheduling,inst_n19_s01,19,1,19,TIME_LIMIT,FEASIBLE_POINT,249.9999999999928,0.8425138881307087,300.018541787,228,684
Machine Scheduling,inst_n19_s02,19,1,19,TIME_LIMIT,FEASIBLE_POINT,118.99999999954025,0.9711850577454723,285.766790287,228,684
Machine Scheduling,inst_n19_s03,19,1,19,TIME_LIMIT,FEASIBLE_POINT,226.99999999997945,0.9229074889867772,300.010710991,228,684
Machine Scheduling,inst_n21_s01,21,1,21,TIME_LIMIT,FEASIBLE_POINT,192.00000000004553,0.9083254968316801,300.012683149,273,819
Machine Scheduling,inst_n21_s02,21,1,21,TIME_LIMIT,FEASIBLE_POINT,188.99999999781363,0.9755183755180921,300.011952268,273,819
Machine Scheduling,inst_n21_s03,21,1,21,TIME_LIMIT,FEASIBLE_POINT,168.99999999999955,0.9189412429164784,300.014356101,273,819
Machine Scheduling,inst_n24_s01,24,1,24,TIME_LIMIT,FEASIBLE_POINT,133.99999999856269,0.9999999999999944,300.011713506,348,1044
Machine Scheduling,inst_n24_s02,24,1,24,TIME_LIMIT,FEASIBLE_POINT,216.99999999999972,0.9847090254283118,300.01174157,348,1044
Machine Scheduling,inst_n24_s03,24,1,24,TIME_LIMIT,FEASIBLE_POINT,259.9999999999996,0.9629076315345989,300.013534981,348,1044
Job Shop Scheduling,abz5,10,10,100,TIME_LIMIT,FEASIBLE_POINT,1241.999999,0.14251207660427695,300.217612381,551,1652
Job Shop Scheduling,ft10,10,10,100,TIME_LIMIT,FEASIBLE_POINT,951.9999990000016,0.21570616125525705,300.018580514,551,1652
Job Shop Scheduling,ft20,20,5,100,TIME_LIMIT,FEASIBLE_POINT,1255.0000000051216,0.6008412356262017,300.035837585,1051,3152
Job Shop Scheduling,orb01,10,10,100,TIME_LIMIT,FEASIBLE_POINT,1122.0,0.2879434720062022,300.018501712,551,1652
Flow Shop Scheduling,problem_10m_20j,20,10,200,TIME_LIMIT,FEASIBLE_POINT,290.0,0.024137931034459242,300.249301759,601,1214
