problema,instancia,tarefas,maquinas,operacoes,status_terminacao,status_primal,valor_objetivo_ou_makespan,gap_relativo,tempo_solucao,quantidade_variaveis,quantidade_restricoes
Machine Scheduling,inst_n24_s01,24,1,24,TIME_LIMIT,FEASIBLE_POINT,133.99999999856269,0.9999999999999944,300.011713506,348,1044
Machine Scheduling,inst_n24_s02,24,1,24,TIME_LIMIT,FEASIBLE_POINT,216.99999999999972,0.9847090254283118,300.01174157,348,1044
Machine Scheduling,inst_n21_s02,21,1,21,TIME_LIMIT,FEASIBLE_POINT,188.99999999781363,0.9755183755180921,300.011952268,273,819
Machine Scheduling,inst_n19_s02,19,1,19,TIME_LIMIT,FEASIBLE_POINT,118.99999999954025,0.9711850577454723,285.766790287,228,684
Machine Scheduling,inst_n24_s03,24,1,24,TIME_LIMIT,FEASIBLE_POINT,259.9999999999996,0.9629076315345989,300.013534981,348,1044
Job Shop Scheduling,ft20,20,5,100,TIME_LIMIT,FEASIBLE_POINT,1255.0000000051216,0.6008412356262017,300.035837585,1051,3152
Job Shop Scheduling,orb01,10,10,100,TIME_LIMIT,FEASIBLE_POINT,1122.0,0.2879434720062022,300.018501712,551,1652
Job Shop Scheduling,ft10,10,10,100,TIME_LIMIT,FEASIBLE_POINT,951.9999990000016,0.21570616125525705,300.018580514,551,1652
Job Shop Scheduling,abz5,10,10,100,TIME_LIMIT,FEASIBLE_POINT,1241.999999,0.14251207660427695,300.217612381,551,1652
Job Shop Scheduling,la02,10,5,50,OPTIMAL,FEASIBLE_POINT,660.99999876,0.009986713749974277,270.614783821,276,827
Flow Shop Scheduling,problem_10m_20j,20,10,200,TIME_LIMIT,FEASIBLE_POINT,290.0,0.024137931034459242,300.249301759,601,1214
Flow Shop Scheduling,problem_5m_20j,20,5,100,OPTIMAL,FEASIBLE_POINT,264.0,0.009986225895323225,6.013789192,501,819
Flow Shop Scheduling,problem_5m_30j,30,5,150,OPTIMAL,FEASIBLE_POINT,330.0,0.009090909090901237,0.618970044,1051,1529
Flow Shop Scheduling,problem_8m_10j,10,8,80,OPTIMAL,FEASIBLE_POINT,187.0,0.0077299869670227625,2.095669674,181,426
Flow Shop Scheduling,problem_5m_10j,10,5,50,OPTIMAL,FEASIBLE_POINT,129.0,0.004575598406862917,0.203412503,151,309
