problema,instancia,tarefas,maquinas,operacoes,status_terminacao,status_primal,valor_objetivo_ou_makespan,melhor_limite,gap_relativo,tempo_solucao,quantidade_variaveis,quantidade_restricoes,limite_tempo,mensagem_erro,solucao_validada,mensagem_validacao
Machine Scheduling,inst_book,7,1,7,OPTIMAL,FEASIBLE_POINT,15.999999999999988,15.999999999999988,0.0,0.279280902,42,126,false,,nao_validavel,"NAO_VALIDAVEL: o CSV consolidado nao registra horarios de inicio e termino por tarefa; sem esses dados nao e possivel confirmar atribuicao, ausencia de sobreposicao e makespan da solucao registrada sem reexecutar o modelo."
Machine Scheduling,inst_n05_s01,5,1,5,OPTIMAL,FEASIBLE_POINT,7.0,6.999997000000008,4.285714274893897e-7,0.015147738,25,75,false,,nao_validavel,"NAO_VALIDAVEL: o CSV consolidado nao registra horarios de inicio e termino por tarefa; sem esses dados nao e possivel confirmar atribuicao, ausencia de sobreposicao e makespan da solucao registrada sem reexecutar o modelo."
Machine Scheduling,inst_n05_s02,5,1,5,OPTIMAL,FEASIBLE_POINT,14.99999999999999,14.999999999999986,0.0,0.168475737,25,75,false,,nao_validavel,"NAO_VALIDAVEL: o CSV consolidado nao registra horarios de inicio e termino por tarefa; sem esses dados nao e possivel confirmar atribuicao, ausencia de sobreposicao e makespan da solucao registrada sem reexecutar o modelo."
Machine Scheduling,inst_n05_s03,5,1,5,OPTIMAL,FEASIBLE_POINT,3.0,3.0,0.0,0.011220451,25,75,false,,nao_validavel,"NAO_VALIDAVEL: o CSV consolidado nao registra horarios de inicio e termino por tarefa; sem esses dados nao e possivel confirmar atribuicao, ausencia de sobreposicao e makespan da solucao registrada sem reexecutar o modelo."
Machine Scheduling,inst_n07_s01,7,1,7,OPTIMAL,FEASIBLE_POINT,38.0,37.64705882352941,0.009287925696594394,0.145353485,42,126,false,,nao_validavel,"NAO_VALIDAVEL: o CSV consolidado nao registra horarios de inicio e termino por tarefa; sem esses dados nao e possivel confirmar atribuicao, ausencia de sobreposicao e makespan da solucao registrada sem reexecutar o modelo."
Machine Scheduling,inst_n07_s02,7,1,7,OPTIMAL,FEASIBLE_POINT,29.99999999999997,29.874999999999975,0.004166666666666552,0.363907351,42,126,false,,nao_validavel,"NAO_VALIDAVEL: o CSV consolidado nao registra horarios de inicio e termino por tarefa; sem esses dados nao e possivel confirmar atribuicao, ausencia de sobreposicao e makespan da solucao registrada sem reexecutar o modelo."
Machine Scheduling,inst_n07_s03,7,1,7,OPTIMAL,FEASIBLE_POINT,25.999999999999993,25.999999999999993,0.0,0.08529473,42,126,false,,nao_validavel,"NAO_VALIDAVEL: o CSV consolidado nao registra horarios de inicio e termino por tarefa; sem esses dados nao e possivel confirmar atribuicao, ausencia de sobreposicao e makespan da solucao registrada sem reexecutar o modelo."
Machine Scheduling,inst_n09_s01,9,1,9,OPTIMAL,FEASIBLE_POINT,26.0,26.0,0.0,0.295709738,63,189,false,,nao_validavel,"NAO_VALIDAVEL: o CSV consolidado nao registra horarios de inicio e termino por tarefa; sem esses dados nao e possivel confirmar atribuicao, ausencia de sobreposicao e makespan da solucao registrada sem reexecutar o modelo."
Machine Scheduling,inst_n09_s02,9,1,9,OPTIMAL,FEASIBLE_POINT,55.99999999999997,55.48206976330311,0.009248754226729697,1.086370874,63,189,false,,nao_validavel,"NAO_VALIDAVEL: o CSV consolidado nao registra horarios de inicio e termino por tarefa; sem esses dados nao e possivel confirmar atribuicao, ausencia de sobreposicao e makespan da solucao registrada sem reexecutar o modelo."
Machine Scheduling,inst_n09_s03,9,1,9,OPTIMAL,FEASIBLE_POINT,31.99999999999748,31.692307692307693,0.009615384615306734,3.929032691,63,189,false,,nao_validavel,"NAO_VALIDAVEL: o CSV consolidado nao registra horarios de inicio e termino por tarefa; sem esses dados nao e possivel confirmar atribuicao, ausencia de sobreposicao e makespan da solucao registrada sem reexecutar o modelo."
