problema,instancia,tarefas,maquinas,operacoes,status_terminacao,status_primal,valor_objetivo_ou_makespan,melhor_limite,gap_relativo,tempo_solucao,quantidade_variaveis,quantidade_restricoes,limite_tempo,mensagem_erro,solucao_validada,mensagem_validacao
Job Shop Scheduling,ft06,6,6,36,OPTIMAL,FEASIBLE_POINT,54.999999999999496,54.999999999999496,0.0,0.509079322,127,380,false,,false,"Programacao detalhada nao registrada no CSV; nao e possivel validar atribuicoes, precedencias, conflitos e makespan da solucao registrada sem reexecutar o solver."
Job Shop Scheduling,abz5,10,10,100,TIME_LIMIT,FEASIBLE_POINT,1241.999999,1065.0,0.14251207660427695,300.217612381,551,1652,true,,false,"Programacao detalhada nao registrada no CSV; nao e possivel validar atribuicoes, precedencias, conflitos e makespan da solucao registrada sem reexecutar o solver."
Job Shop Scheduling,abz6,10,10,100,OPTIMAL,FEASIBLE_POINT,942.999999,933.5888655462185,0.00997999306867606,81.414628239,551,1652,false,,false,"Programacao detalhada nao registrada no CSV; nao e possivel validar atribuicoes, precedencias, conflitos e makespan da solucao registrada sem reexecutar o solver."
Job Shop Scheduling,ft10,10,10,100,TIME_LIMIT,FEASIBLE_POINT,951.9999990000016,746.6477337007027,0.21570616125525705,300.018580514,551,1652,true,,false,"Programacao detalhada nao registrada no CSV; nao e possivel validar atribuicoes, precedencias, conflitos e makespan da solucao registrada sem reexecutar o solver."
Job Shop Scheduling,ft20,20,5,100,TIME_LIMIT,FEASIBLE_POINT,1255.0000000051216,500.9442492911612,0.6008412356262017,300.035837585,1051,3152,true,,false,"Programacao detalhada nao registrada no CSV; nao e possivel validar atribuicoes, precedencias, conflitos e makespan da solucao registrada sem reexecutar o solver."
Job Shop Scheduling,la01,10,5,50,OPTIMAL,FEASIBLE_POINT,665.9999999999991,659.413077762537,0.009890273629822971,121.452220418,276,827,false,,false,"Programacao detalhada nao registrada no CSV; nao e possivel validar atribuicoes, precedencias, conflitos e makespan da solucao registrada sem reexecutar o solver."
Job Shop Scheduling,la02,10,5,50,OPTIMAL,FEASIBLE_POINT,660.99999876,654.3987809836506,0.009986713749974277,270.614783821,276,827,false,,false,"Programacao detalhada nao registrada no CSV; nao e possivel validar atribuicoes, precedencias, conflitos e makespan da solucao registrada sem reexecutar o solver."
Job Shop Scheduling,la03,10,5,50,OPTIMAL,FEASIBLE_POINT,603.0,596.9976540009998,0.009954139301824589,200.775897858,276,827,false,,false,"Programacao detalhada nao registrada no CSV; nao e possivel validar atribuicoes, precedencias, conflitos e makespan da solucao registrada sem reexecutar o solver."
Job Shop Scheduling,la04,10,5,50,OPTIMAL,FEASIBLE_POINT,593.0,587.0822246432456,0.00997938508727558,29.58557274,276,827,false,,false,"Programacao detalhada nao registrada no CSV; nao e possivel validar atribuicoes, precedencias, conflitos e makespan da solucao registrada sem reexecutar o solver."
Job Shop Scheduling,orb01,10,10,100,TIME_LIMIT,FEASIBLE_POINT,1122.0,798.9274244090411,0.2879434720062022,300.018501712,551,1652,true,,false,"Programacao detalhada nao registrada no CSV; nao e possivel validar atribuicoes, precedencias, conflitos e makespan da solucao registrada sem reexecutar o solver."
