,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10
J1,19,9,16,17,5,14,11,5,13,17
J2,3,2,1,7,5,15,8,14,13,8
J3,4,2,16,10,7,16,2,7,15,17
J4,7,19,13,14,3,12,3,10,3,1
J5,11,15,7,5,15,9,2,10,12,14
J6,10,7,1,1,11,7,8,19,1,6
J7,5,11,9,5,18,10,7,19,16,6
J8,14,7,9,5,4,1,2,16,5,12
J9,5,3,5,13,9,1,13,8,18,6
J10,8,18,7,13,11,5,14,8,5,13
J11,19,19,3,19,6,13,15,8,16,10
J12,18,3,13,12,8,13,4,1,8,6
J13,3,12,19,12,16,1,10,19,5,6
J14,2,18,14,2,11,5,4,5,17,10
J15,3,5,17,7,14,16,8,19,10,19
J16,18,19,10,17,12,7,3,5,13,13
J17,1,5,4,13,15,11,5,15,17,14
J18,5,15,3,10,14,9,7,8,19,3
J19,7,10,18,3,14,17,10,2,13,4
J20,12,7,16,7,18,18,6,11,3,15
